GCA_001465055.1	Pfla
GCA_001663935.1	Aluc
GCA_963924565.1	Aasp
GCA_001749815.1	Stho
GCA_907165135.1	Odio
GCA_964187855.1	Mglu
GCA_035128595.1	Eata
GCA_030390025.1	Saca
GCA_035084135.2	Hper
GCF_037176945.1	Lcha
GCA_016271365.2	Nfor
GCF_905171765.1	Bbuf
GCF_901765095.1	Muni
GCF_001723895.1	Cpor
GCF_028583425.1	Emac
GCA_035046505.1	Tsci
GCF_015476345.1	Apla
GCF_003957565.2	Tgut
GCF_027595985.1	Sara
GCF_027409185.1	Cvol
GCF_000334495.1	Tchi
GCF_027406575.1	Ncou
GCF_037993035.1	Mfas
GCF_011100555.1	Cjac
